review,rating,date,bank,source,translated_review,final_translation
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,A Google user,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.
nice,5,2025-05-26,CBE,A Google user,nice,nice
good job,5,2025-05-26,CBE,A Google user,good job,good job
Good,5,2025-05-25,CBE,A Google user,Good,Good
it's awesome!!,5,2025-05-25,CBE,A Google user,it's awesome!!,it's awesome!!
best,5,2025-05-25,CBE,A Google user,best,best
thankyou every one,5,2025-05-25,CBE,A Google user,thankyou every one,thankyou every one
best app,5,2025-05-25,CBE,A Google user,best app,best app
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,A Google user,Ronaldo 🇵🇹 🥇,Ronaldo
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,A Google user,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .","this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together ."
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,A Google user,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.","The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services."
mortuary app,5,2025-05-25,CBE,A Google user,mortuary app,mortuary app
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,A Google user,it is smart app but it has stoped after some period of time on my device with out any reason .,it is smart app but it has stoped after some period of time on my device with out any reason .
amazing app I am used this app for one year,4,2025-05-24,CBE,A Google user,amazing app I am used this app for one year,amazing app I am used this app for one year
👍,5,2025-05-24,CBE,A Google user,👍,thumbs up
good app,5,2025-05-24,CBE,A Google user,good app,good app
i love it 😍😘,5,2025-05-24,CBE,A Google user,i love it 😍😘,i love it
It makes life easy!👌,5,2025-05-24,CBE,A Google user,It makes life easy!👌,It makes life easy!
its not fast,1,2025-05-24,CBE,A Google user,its not fast,its not fast
wow,4,2025-05-24,CBE,A Google user,wow,wow
it is sooo good,5,2025-05-24,CBE,A Google user,it is sooo good,it is sooo good
excellent,5,2025-05-24,CBE,A Google user,excellent,excellent
ok,1,2025-05-23,CBE,A Google user,ok,ok
Fantastic,5,2025-05-23,CBE,A Google user,Fantastic,Fantastic
accessible to using,5,2025-05-23,CBE,A Google user,accessible to using,accessible to using
I like it,4,2025-05-23,CBE,A Google user,I like it,I like it
good,5,2025-05-23,CBE,A Google user,good,good
why you change default network?,5,2025-05-23,CBE,A Google user,why you change default network?,why you change default network?
very nice 👍,5,2025-05-23,CBE,A Google user,very nice 👍,very nice thumbs up
nice fast app,5,2025-05-23,CBE,A Google user,nice fast app,nice fast app
best,5,2025-05-23,CBE,A Google user,best,best
how to I get my money,5,2025-05-22,CBE,A Google user,how to I get my money,how to I get my money
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,A Google user,"Very bad, can't even load they need to improve their services.","Very bad, can't even load they need to improve their services."
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,A Google user,"Very good app, but please make it reliable . it crashes sometimes .","Very good app, but please make it reliable . it crashes sometimes ."
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,A Google user,very busy I don't know why... I prefer 889,very busy I don't know why... I prefer 889
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,A Google user,"Sometimes it has a nasty lag for several hour fix that , the rest is 👌","Sometimes it has a nasty lag for several hour fix that , the rest is"
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,A Google user,the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps
hojii bonsaadha,5,2025-05-22,CBE,A Google user,It’s a proud job,hojii bonsaadha
ok,5,2025-05-22,CBE,A Google user,ok,ok
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,A Google user,user-friendly apps.because this app is easy.,user-friendly apps.because this app is easy.
Awosome!!!,5,2025-05-22,CBE,A Google user,Awosome!!!,Awosome!!!
"Very good app,",5,2025-05-22,CBE,A Google user,"Very good app,","Very good app,"
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,A Google user,sync problem may 22 2025 but the date stack on may 8 2025 help pls,sync problem may 22 2025 but the date stack on may 8 2025 help pls
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,A Google user,ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,. this app is very nice
I hate this app 😒,1,2025-05-22,CBE,A Google user,I hate this app 😒,I hate this app
trustful,5,2025-05-22,CBE,A Google user,trustful,trustful
I like,5,2025-05-21,CBE,A Google user,I like,I like
update issue,4,2025-05-21,CBE,A Google user,update issue,update issue
its not working over safari network,1,2025-05-21,CBE,A Google user,its not working over safari network,its not working over safari network
oldie,1,2025-05-21,CBE,A Google user,oldie,oldie
it doesn't work,1,2025-05-21,CBE,A Google user,it doesn't work,it doesn't work
best,5,2025-05-21,CBE,A Google user,best,best
"This app is good, and we are using it well",1,2025-05-21,CBE,A Google user,"This app is good, and we are using it well","This app is good, and we are using it well"
ok,5,2025-05-21,CBE,A Google user,ok,ok
best app,5,2025-05-21,CBE,A Google user,best app,best app
very nice 👌 app for android phone,5,2025-05-21,CBE,A Google user,very nice 👌 app for android phone,very nice app for android phone
good app,5,2025-05-21,CBE,A Google user,good app,good app
Yes Yes,5,2025-05-21,CBE,A Google user,Yes Yes,Yes Yes
በጣም ከርፋፋ,1,2025-05-21,CBE,A Google user,Too worst,
easy to use helpful in my life,5,2025-05-21,CBE,A Google user,easy to use helpful in my life,easy to use helpful in my life
good 👍,4,2025-05-21,CBE,A Google user,good 👍,good thumbs up
the best mobile banking app,5,2025-05-21,CBE,A Google user,the best mobile banking app,the best mobile banking app
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,A Google user,"this app is very useful app,it saves time,and it is secure","this app is very useful app,it saves time,and it is secure"
ok,2,2025-05-21,CBE,A Google user,ok,ok
it's a good application 👍,5,2025-05-21,CBE,A Google user,it's a good application 👍,it's a good application thumbs up
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,A Google user,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !
poor service,1,2025-05-20,CBE,A Google user,poor service,poor service
amazing,5,2025-05-20,CBE,A Google user,amazing,amazing
it is reliable and easy to use.,5,2025-05-20,CBE,A Google user,it is reliable and easy to use.,it is reliable and easy to use.
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,A Google user,the most annoying mobile banking app I've ever seen,the most annoying mobile banking app I've ever seen
Cbe mobile banking,5,2025-05-20,CBE,A Google user,Cbe mobile banking,Cbe mobile banking
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,A Google user,"i can't make Screenshout in this app, please made modification","i can't make Screenshout in this app, please made modification"
Best app I loved it,5,2025-05-18,CBE,A Google user,Best app I loved it,Best app I loved it
nice app,5,2025-05-18,CBE,A Google user,nice app,nice app
wow,5,2025-05-18,CBE,A Google user,wow,wow
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,A Google user,Amazing applicatiom sometimes doesnt work!,Amazing applicatiom sometimes doesnt work!
well satisfied with this beautiful app,5,2025-05-18,CBE,A Google user,well satisfied with this beautiful app,well satisfied with this beautiful app
very good,4,2025-05-17,CBE,A Google user,very good,very good
best app.,5,2025-05-17,CBE,A Google user,best app.,best app.
good,5,2025-05-17,CBE,A Google user,good,good
"not working,why???",5,2025-05-17,CBE,A Google user,"not working,why???","not working,why???"
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,A Google user,Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,Great impact but why Developer option turnoff if you fix thank you thank you thank you
excellent,5,2025-05-17,CBE,A Google user,excellent,excellent
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,A Google user,always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!
woxe harimo ribiso,5,2025-05-16,CBE,A Google user,Woxe including ribiso,woxe harimo ribiso
good,5,2025-05-16,CBE,A Google user,good,good
"Good ,easy to use",5,2025-05-16,CBE,A Google user,"Good ,easy to use","Good ,easy to use"
Good app,5,2025-05-15,CBE,A Google user,Good app,Good app
Good job👍,5,2025-05-14,CBE,A Google user,Good job👍,Good job thumbs up
good,5,2025-05-14,CBE,A Google user,good,good
nice,5,2025-05-14,CBE,A Google user,nice,nice
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,A Google user,"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.","Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen."
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,A Google user,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,A Google user,customer service is bad nothing is good about this bank,customer service is bad nothing is good about this bank
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,A Google user,It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work
fast and simple easy to use 👌,5,2025-05-12,CBE,A Google user,fast and simple easy to use 👌,fast and simple easy to use
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,A Google user,The fastest transferring app I ever had its so reliable,The fastest transferring app I ever had its so reliable
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,A Google user,"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.","Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received."
it's easy and fast,5,2025-05-10,CBE,A Google user,it's easy and fast,it's easy and fast
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,A Google user,This app don't have self activation only you have to look near cbe branch that's disgusting,This app don't have self activation only you have to look near cbe branch that's disgusting
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,A Google user,hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help
wow best application ever,5,2025-05-09,CBE,A Google user,wow best application ever,wow best application ever
good,5,2025-05-09,CBE,A Google user,good,good
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,A Google user,"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,","Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,"
Best,4,2025-05-08,CBE,A Google user,Best,Best
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,A Google user,the pride of Ethiopian bank 🏦,the pride of Ethiopian bank
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,A Google user,why the app telling me to turn of developer options please fix it.,why the app telling me to turn of developer options please fix it.
good,5,2025-05-07,CBE,A Google user,good,good
ok,5,2025-05-07,CBE,A Google user,ok,ok
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,A Google user,i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.
good,3,2025-05-06,CBE,A Google user,good,good
amazing apps,5,2025-05-06,CBE,A Google user,amazing apps,amazing apps
All service of Mobile Banking,5,2025-05-06,CBE,A Google user,All service of Mobile Banking,All service of Mobile Banking
needs improvement,1,2025-05-06,CBE,A Google user,needs improvement,needs improvement
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,A Google user,i miss the old one i couldn't send my mony to other bank..,i miss the old one i couldn't send my mony to other bank..
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,A Google user,the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.
good,5,2025-05-06,CBE,A Google user,good,good
good but these week not oky,4,2025-05-06,CBE,A Google user,good but these week not oky,good but these week not oky
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,A Google user,well designed! Fixing bugs & two step verification with biometric... simply it's great!,well designed! Fixing bugs & two step verification with biometric... simply it's great!
Good app,5,2025-05-06,CBE,A Google user,Good app,Good app
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,A Google user,If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,A Google user,"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place","it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place"
CBE mobilr bankg,5,2025-05-05,CBE,A Google user,Cbe Mobilr Bankg,CBE mobilr bankg
wow,1,2025-05-05,CBE,A Google user,wow,wow
verygood,3,2025-05-05,CBE,A Google user,verygood,verygood
ممتاز جدا,5,2025-05-04,CBE,A Google user,Very excellent,
it's very low quality application,1,2025-05-04,CBE,A Google user,it's very low quality application,it's very low quality application
Very Amazing Apps,5,2025-05-04,CBE,A Google user,Very Amazing Apps,Very Amazing Apps
አዛ,1,2025-05-04,CBE,A Google user,አዛ,
wow simple life,5,2025-05-04,CBE,A Google user,wow simple life,wow simple life
it's nice,5,2025-05-03,CBE,A Google user,it's nice,it's nice
Why stacked sometimes,5,2025-05-03,CBE,A Google user,Why stacked sometimes,Why stacked sometimes
good app,5,2025-05-03,CBE,A Google user,good app,good app
nice,5,2025-05-03,CBE,A Google user,nice,nice
okay 👍 but sometimes busy,1,2025-05-03,CBE,A Google user,okay 👍 but sometimes busy,okay thumbs up but sometimes busy
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,A Google user,the worst commercial company that fails to do even the most normal things again and and again.,the worst commercial company that fails to do even the most normal things again and and again.
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,A Google user,Very good app. but disappointed by general cessation of system.,Very good app. but disappointed by general cessation of system.
excellent,5,2025-05-02,CBE,A Google user,excellent,excellent
good,5,2025-05-02,CBE,A Google user,good,good
Good and fast,5,2025-05-02,CBE,A Google user,Good and fast,Good and fast
Unreliable!,1,2025-05-02,CBE,A Google user,Unreliable!,Unreliable!
Best the best fast,5,2025-05-02,CBE,A Google user,Best the best fast,Best the best fast
good app,5,2025-05-02,CBE,A Google user,good app,good app
happy,5,2025-05-02,CBE,A Google user,happy,happy
fast and reliable,5,2025-05-02,CBE,A Google user,fast and reliable,fast and reliable
network errorrrrrr,2,2025-05-02,CBE,A Google user,network errorrrrrr,network errorrrrrr
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,A Google user,Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full
its good and simple to use,5,2025-05-02,CBE,A Google user,its good and simple to use,its good and simple to use
worest app like that bank for security and network access,1,2025-05-02,CBE,A Google user,worest app like that bank for security and network access,worest app like that bank for security and network access
it's the best app i,5,2025-05-02,CBE,A Google user,it's the best app i,it's the best app i
not bad not good,1,2025-05-02,CBE,A Google user,not bad not good,not bad not good
its very nice,5,2025-05-02,CBE,A Google user,its very nice,its very nice
do not work this week,3,2025-04-30,CBE,A Google user,do not work this week,do not work this week
It crashes frequently,4,2025-04-30,CBE,A Google user,It crashes frequently,It crashes frequently
the best,5,2025-04-28,CBE,A Google user,the best,the best
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,A Google user,"I can simply describe this app as ""Making all your work easier"".","I can simply describe this app as ""Making all your work easier""."
goid,5,2025-04-28,CBE,A Google user,Theft,goid
best appearance,5,2025-04-27,CBE,A Google user,best appearance,best appearance
it's very good 👍 app,5,2025-04-27,CBE,A Google user,it's very good 👍 app,it's very good thumbs up app
abinet kutafo,1,2025-04-27,CBE,A Google user,Abinet cut off,abinet kutafo
I need support you,5,2025-04-26,CBE,A Google user,I need support you,I need support you
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,A Google user,the worst Mobile banking i have ever seen in my life,the worst Mobile banking i have ever seen in my life
Nuree mahamud,5,2025-04-26,CBE,A Google user,Nuree Mahamud,Nuree mahamud
super,5,2025-04-26,CBE,A Google user,super,super
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,A Google user,Igested,
i like the app,5,2025-04-26,CBE,A Google user,i like the app,i like the app
the Best,1,2025-04-26,CBE,A Google user,the Best,the Best
nice,5,2025-04-26,CBE,A Google user,nice,nice
good,5,2025-04-25,CBE,A Google user,good,good
to other bank is bad,1,2025-04-25,CBE,A Google user,to other bank is bad,to other bank is bad
tank's,5,2025-04-25,CBE,A Google user,tank's,tank's
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,A Google user,its good but add more features such like. bank statement showing,its good but add more features such like. bank statement showing
it is so nice,5,2025-04-24,CBE,A Google user,it is so nice,it is so nice
good,5,2025-04-21,CBE,A Google user,good,good
Very Good👍,5,2025-04-21,CBE,A Google user,Very Good👍,Very Good thumbs up
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,A Google user,"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations","my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations"
"wow, amazing app",5,2025-04-21,CBE,A Google user,"wow, amazing app","wow, amazing app"
use ful,5,2025-04-21,CBE,A Google user,use ful,use ful
Great app,5,2025-04-21,CBE,A Google user,Great app,Great app
well app,5,2025-04-20,CBE,A Google user,well app,well app
Actually it is inactive,4,2025-04-19,CBE,A Google user,Actually it is inactive,Actually it is inactive
good,4,2025-04-19,CBE,A Google user,good,good
ok,2,2025-04-19,CBE,A Google user,ok,ok
best app,5,2025-04-19,CBE,A Google user,best app,best app
amazing,1,2025-04-19,CBE,A Google user,amazing,amazing
good,5,2025-04-19,CBE,A Google user,good,good
I like,5,2025-04-19,CBE,A Google user,I like,I like
"slow, only one account is used",2,2025-04-19,CBE,A Google user,"slow, only one account is used","slow, only one account is used"
ok,5,2025-04-18,CBE,A Google user,ok,ok
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,A Google user,always CBE is the leading Commercial Bank💪💪💪,always CBE is the leading Commercial Bank
i like it,5,2025-04-18,CBE,A Google user,i like it,i like it
why removing screenshot feature why?,1,2025-04-18,CBE,A Google user,why removing screenshot feature why?,why removing screenshot feature why?
nice apps where network is good in connection,5,2025-04-18,CBE,A Google user,nice apps where network is good in connection,nice apps where network is good in connection
Thank you!!!,5,2025-04-18,CBE,A Google user,Thank you!!!,Thank you!!!
